name,category,tier,address,city,zip,phone,email,website,lat,lng,google_rating,google_review_count,business_status,google_maps_url,owner_name,business_structure,chain_affiliation,is_independent,data_source,last_verified,notes
Providence Place Senior Living of Pottsville,assisted_living,1,2200 First Avenue,Pottsville,17901,(570) 628-6950,,providence-place.com,,,,,OPERATIONAL,,,,,,providence-place.com,2026-03-15,Independent living personal care memory care
Luther Ridge at Seiders Hill,assisted_living,1,160 Red Horse Road,Pottsville,17901,(570) 621-7200,,lutherridge.com,,,,,OPERATIONAL,,,,,,seniorly.com,2026-03-15,Up to 135 beds assisted living for mature adults
Renaissance Home Pinebrook,assisted_living,1,2 Woodbridge Road,Orwigsburg,17961,(570) 366-8544,,renseniorhomes.com,,,,,OPERATIONAL,,,,,,seniorhomes.com,2026-03-15,Personal care and independent living community
Providence Place Senior Living of Pine Grove,assisted_living,1,24 Hikes Hollow Road,Pine Grove,17963,(570) 345-4999,,providence-place.com,,,,,OPERATIONAL,,,,,,yelp.com,2026-03-15,Retirement community assisted living and personal care
Schoolyard Square,assisted_living,1,11 High Street,Pine Grove,17963,(570) 345-4075,,stoneridgeretirement.com,,,,,OPERATIONAL,,,,,,seniorhomes.com,2026-03-15,21 independent living apartments plus 48 personal care rooms
Heritage Mills Personal Care and Memory Assistance Center,assisted_living,1,846 East Wiconisco Avenue,Tower City,17980,(717) 523-1257,,,,,,,OPERATIONAL,,,,,,seniorly.com,2026-03-15,Up to 60 residents personal care and memory care
Andsher Personal Care Home,assisted_living,1,20 North Kennedy Drive,McAdoo,18237,(570) 929-1777,,,,,,,OPERATIONAL,,,,,,yelp.com,2026-03-15,Up to 27 residents 24-hour non-medical care
The Birches at Shenandoah Manor,assisted_living,1,101 East Washington Street,Shenandoah,17976,(570) 462-1908,,shenandoahseniorliving.com,,,,,OPERATIONAL,,,,,,carelistings.com,2026-03-15,Personal care home part of Shenandoah Senior Living Community
Serenity Gardens at Mount Carmel,assisted_living,1,3 Vermont Drive,Kulpmont,17834,(570) 373-3000,,serenitygardensal.com,,,,,OPERATIONAL,,,,,,caring.com,2026-03-15,Assisted living and memory care serves Coal Region area
Schuylkill Center,nursing_home,1,1000 Schuylkill Manor Road,Pottsville,17901,(570) 622-9666,,schuylkillhc.com,,,,,OPERATIONAL,,,,Genesis HealthCare,,schuylkillhc.com,2026-03-15,190-bed Medicare Medicaid certified SNF
